Date,High,Low,Average,Precip
5/17/2011,83,57,70,0
5/18/2011,80,63,71.5,0
5/19/2011,88,74,81,T
5/20/2011,93,79,86,T
5/21/2011,89,74,81.5,0
5/22/2011,92,76,84,0
5/23/2011,92,76,84,0
5/24/2011,94,78,86,0
5/25/2011,95,79,87,T
5/26/2011,98,72,85,0.01
5/27/2011,97,70,83.5,0
5/28/2011,95,77,86,0
5/29/2011,94,77,85.5,0
5/30/2011,95,79,87,0
5/31/2011,96,75,85.5,0
6/1/2011,98,70,84,0
6/2/2011,100,72,86,0
6/3/2011,96,73,84.5,0
6/4/2011,98,71,84.5,0
6/5/2011,105,75,90,T
6/6/2011,105,72,88.5,0.11
6/7/2011,95,70,82.5,T
6/8/2011,95,73,84,0
6/9/2011,95,72,83.5,0
6/10/2011,94,72,83,T
6/11/2011,96,71,83.5,0
6/12/2011,98,70,84,0
6/13/2011,99,72,85.5,0
6/14/2011,99,77,88,0
6/15/2011,100,76,88,0
6/16/2011,99,77,88,0
6/17/2011,100,82,91,0
6/18/2011,100,82,91,0
6/19/2011,99,82,90.5,0
6/20/2011,97,81,89,0
6/21/2011,98,82,90,T
6/22/2011,84,69,76.5,0.8
6/23/2011,92,74,83,0.01
6/24/2011,93,73,83,T
6/25/2011,96,75,85.5,0
6/26/2011,97,79,88,0
6/27/2011,97,79,88,0
6/28/2011,98,77,87.5,0
6/29/2011,99,75,87,0
6/30/2011,100,74,87,0
7/1/2011,99,76,87.5,0
7/2/2011,102,74,88,0.58
7/3/2011,98,76,87,0
7/4/2011,97,78,87.5,0
7/5/2011,99,75,87,0.01
7/6/2011,97,75,86,0.85
7/7/2011,97,73,85,0
7/8/2011,97,77,87,0
7/9/2011,97,80,88.5,T
7/10/2011,97,76,86.5,0.07
7/11/2011,97,77,87,0
7/12/2011,96,79,87.5,0
7/13/2011,99,78,88.5,0
7/14/2011,100,81,90.5,0.01
7/15/2011,96,82,89,T
7/16/2011,94,81,87.5,0.06
7/17/2011,98,75,86.5,0
7/18/2011,94,79,86.5,0.14
7/19/2011,86,75,80.5,0.5
7/20/2011,94,76,85,0
7/21/2011,97,77,87,T
7/22/2011,96,78,87,T
7/23/2011,99,77,88,0
7/24/2011,100,77,88.5,0
7/25/2011,99,81,90,T
7/26/2011,100,81,90.5,0
7/27/2011,99,78,88.5,0.6
7/28/2011,96,78,87,T
7/29/2011,90,78,84,T
7/30/2011,95,77,86,0.16
7/31/2011,98,73,85.5,0
8/1/2011,100,79,89.5,0
8/2/2011,100,81,90.5,0
8/3/2011,101,81,91,0
8/4/2011,101,80,90.5,0
8/5/2011,101,79,90,0
8/6/2011,101,81,91,0
8/7/2011,101,81,91,0
8/8/2011,102,80,91,0
8/9/2011,102,81,91.5,0
8/10/2011,102,81,91.5,T
8/11/2011,102,79,90.5,0
8/12/2011,101,81,91,0
8/13/2011,101,77,89,0
8/14/2011,100,80,90,0.07
8/15/2011,100,79,89.5,0
8/16/2011,102,77,89.5,0
8/17/2011,103,78,90.5,0
8/18/2011,104,81,92.5,0
8/19/2011,104,79,91.5,0
8/20/2011,102,81,91.5,0
8/21/2011,103,75,89,0
8/22/2011,101,77,89,0
8/23/2011,102,79,90.5,0
8/24/2011,102,78,90,T
8/25/2011,95,76,85.5,0.02
8/26/2011,104,76,90,0
8/27/2011,109,81,95,0
8/28/2011,107,75,91,0
8/29/2011,107,75,91,0
8/30/2011,102,76,89,0
8/31/2011,101,75,88,0
9/1/2011,102,77,89.5,0
9/2/2011,102,78,90,0
9/3/2011,96,75,85.5,0.05
9/4/2011,89,75,82,T
9/5/2011,95,68,81.5,0
9/6/2011,94,59,76.5,0
9/7/2011,94,59,76.5,0
9/8/2011,95,61,78,0
9/9/2011,98,62,80,0
9/10/2011,98,67,82.5,0
9/11/2011,99,68,83.5,0
9/12/2011,101,71,86,0
9/13/2011,102,78,90,0
9/14/2011,100,78,89,0
9/15/2011,97,77,87,0
9/16/2011,93,69,81,0
9/17/2011,91,73,82,0.51
9/18/2011,87,74,80.5,0.02
9/19/2011,88,66,77,0.41
9/20/2011,93,66,79.5,0
9/21/2011,94,66,80,0
9/22/2011,95,70,82.5,0
9/23/2011,92,68,80,0
9/24/2011,95,65,80,0
9/25/2011,97,77,87,0
9/26/2011,97,76,86.5,0
9/27/2011,97,77,87,T
9/28/2011,97,72,84.5,0
9/29/2011,96,69,82.5,0.29
9/30/2011,91,66,78.5,0
10/1/2011,86,56,71,0
10/2/2011,87,54,70.5,0
10/3/2011,85,55,70,0
10/4/2011,85,54,69.5,0
10/5/2011,87,56,71.5,0
10/6/2011,91,64,77.5,0
10/7/2011,90,71,80.5,0
10/8/2011,91,70,80.5,T
10/9/2011,76,66,71,3.02
10/10/2011,86,68,77,0
10/11/2011,89,65,77,0
10/12/2011,87,65,76,0
10/13/2011,87,64,75.5,0.01
10/14/2011,86,56,71,0
10/15/2011,87,58,72.5,0
10/16/2011,87,58,72.5,0
10/17/2011,88,63,75.5,0
10/18/2011,74,56,65,0.01
10/19/2011,73,51,62,0
10/20/2011,77,44,60.5,0
10/21/2011,84,55,69.5,0
10/22/2011,85,58,71.5,0
10/23/2011,85,63,74,0.01
10/24/2011,88,65,76.5,0
10/25/2011,86,67,76.5,0
10/26/2011,86,64,75,0
10/27/2011,87,57,72,0.22
10/28/2011,62,50,56,0.09
10/29/2011,68,44,56,0
10/30/2011,73,44,58.5,0
10/31/2011,77,48,62.5,0
11/1/2011,78,50,64,0
11/2/2011,84,60,72,T
11/3/2011,66,48,57,0
11/4/2011,69,41,55,0
11/5/2011,73,39,56,0
11/6/2011,82,64,73,0
11/7/2011,81,69,75,T
11/8/2011,81,67,74,1.24
11/9/2011,67,54,60.5,T
11/10/2011,66,44,55,0
11/11/2011,68,38,53,0
11/12/2011,76,50,63,T
11/13/2011,83,67,75,T
11/14/2011,82,68,75,T
11/15/2011,80,65,72.5,1.99
11/16/2011,81,60,70.5,0
11/17/2011,67,46,56.5,0
11/18/2011,69,41,55,0
11/19/2011,78,65,71.5,T
11/20/2011,84,73,78.5,T
11/21/2011,82,74,78,T
11/22/2011,75,57,66,0.5
11/23/2011,73,51,62,0
11/24/2011,63,47,55,0
11/25/2011,76,48,62,0
11/26/2011,70,53,61.5,0.97
11/27/2011,53,39,46,0
11/28/2011,58,34,46,0
11/29/2011,67,36,51.5,0
11/30/2011,64,41,52.5,0
12/1/2011,73,39,56,0
12/2/2011,71,53,62,0
12/3/2011,77,61,69,0.01
12/4/2011,72,55,63.5,0.31
12/5/2011,55,44,49.5,0.95
12/6/2011,44,34,39,T
12/7/2011,50,29,39.5,0
12/8/2011,57,29,43,0
12/9/2011,60,47,53.5,T
12/10/2011,58,47,52.5,0
12/11/2011,57,40,48.5,T
12/12/2011,65,43,54,0
12/13/2011,65,56,60.5,0
12/14/2011,77,63,70,T
12/15/2011,77,66,71.5,0.1
12/16/2011,68,52,60,0.01
12/17/2011,64,50,57,0
12/18/2011,65,44,54.5,0
12/19/2011,72,51,61.5,0.06
12/20/2011,70,50,60,0.33
12/21/2011,60,43,51.5,0.01
12/22/2011,57,49,53,1.52
12/23/2011,56,48,52,T
12/24/2011,51,43,47,0.79
12/25/2011,48,42,45,0.19
12/26/2011,51,40,45.5,T
12/27/2011,62,37,49.5,0
12/28/2011,66,34,50,0
12/29/2011,63,43,53,0
12/30/2011,73,40,56.5,0
12/31/2011,75,55,65,0
1/1/2012,72,49,60.5,T
1/2/2012,62,43,52.5,0
1/3/2012,57,32,44.5,0
1/4/2012,74,39,56.5,0
1/5/2012,75,52,63.5,0
1/6/2012,75,55,65,0
1/7/2012,76,54,65,0
1/8/2012,78,64,71,0.13
1/9/2012,70,61,65.5,1.01
1/10/2012,61,46,53.5,0.01
1/11/2012,71,42,56.5,0
1/12/2012,60,35,47.5,0
1/13/2012,55,30,42.5,0
1/14/2012,64,31,47.5,0
1/15/2012,70,34,52,0
1/16/2012,78,65,71.5,T
1/17/2012,77,50,63.5,0.05
1/18/2012,64,39,51.5,0
1/19/2012,73,50,61.5,0
1/20/2012,81,66,73.5,0
1/21/2012,73,60,66.5,0.01
1/22/2012,79,60,69.5,T
1/23/2012,70,53,61.5,0
1/24/2012,69,51,60,0.06
1/25/2012,73,54,63.5,2.83
1/26/2012,65,49,57,0
1/27/2012,67,38,52.5,0
1/28/2012,65,45,55,0
1/29/2012,65,39,52,0
1/30/2012,69,41,55,0.01
1/31/2012,72,56,64,0.96
2/1/2012,79,67,73,0.04
2/2/2012,74,67,70.5,T
2/3/2012,76,67,71.5,0.68
2/4/2012,72,54,63,1.07
2/5/2012,54,47,50.5,T
2/6/2012,61,43,52,0
2/7/2012,65,49,57,T
2/8/2012,64,48,56,0
2/9/2012,59,43,51,0.1
2/10/2012,60,47,53.5,0.95
2/11/2012,55,38,46.5,0
2/12/2012,45,34,39.5,0.01
2/13/2012,60,43,51.5,0.47
2/14/2012,71,45,58,0
2/15/2012,71,58,64.5,0.41
2/16/2012,69,56,62.5,0
2/17/2012,64,55,59.5,0.36
2/18/2012,63,52,57.5,1.89
2/19/2012,64,50,57,0
2/20/2012,66,46,56,0
2/21/2012,75,53,64,0
2/22/2012,81,63,72,T
2/23/2012,85,69,77,0
2/24/2012,73,54,63.5,0
2/25/2012,60,43,51.5,0
2/26/2012,67,39,53,0
2/27/2012,71,59,65,T
2/28/2012,77,61,69,0
2/29/2012,84,71,77.5,0
3/1/2012,82,70,76,T
3/2/2012,83,66,74.5,T
3/3/2012,67,49,58,T
3/4/2012,73,42,57.5,0
3/5/2012,78,44,61,0
3/6/2012,75,52,63.5,0
3/7/2012,78,67,72.5,0.12
3/8/2012,80,57,68.5,0.01
3/9/2012,58,49,53.5,1.14
3/10/2012,63,50,56.5,0.65
3/11/2012,71,56,63.5,2.81
3/12/2012,79,57,68,0
3/13/2012,79,67,73,0.01
3/14/2012,81,66,73.5,0
3/15/2012,82,68,75,T
3/16/2012,82,65,73.5,0
3/17/2012,81,68,74.5,0
3/18/2012,82,71,76.5,T
3/19/2012,81,73,77,0.07
3/20/2012,74,59,66.5,1.8
3/21/2012,73,54,63.5,0.06
3/22/2012,81,57,69,0
3/23/2012,84,54,69,0
3/24/2012,84,57,70.5,0
3/25/2012,86,59,72.5,0
3/26/2012,85,59,72,0
3/27/2012,83,59,71,0
3/28/2012,80,60,70,0.06
3/29/2012,76,66,71,0.41
3/30/2012,82,66,74,0
3/31/2012,86,65,75.5,0
4/1/2012,86,69,77.5,0
4/2/2012,80,66,73,0.21
4/3/2012,84,73,78.5,0
4/4/2012,82,68,75,T
4/5/2012,86,65,75.5,0
4/6/2012,84,61,72.5,0
4/7/2012,84,60,72,0
4/8/2012,84,62,73,0
4/9/2012,84,64,74,0
4/10/2012,85,61,73,0
4/11/2012,87,63,75,0
4/12/2012,83,65,74,T
4/13/2012,84,65,74.5,T
4/14/2012,84,75,79.5,T
4/15/2012,85,69,77,0.09
4/16/2012,71,63,67,2.22
4/17/2012,83,62,72.5,0
4/18/2012,82,55,68.5,0
4/19/2012,82,55,68.5,0
4/20/2012,79,59,69,0.76
4/21/2012,76,54,65,0
4/22/2012,86,52,69,0
4/23/2012,78,55,66.5,0
4/24/2012,83,52,67.5,0
4/25/2012,88,66,77,0
4/26/2012,87,71,79,0
4/27/2012,85,71,78,0
4/28/2012,86,72,79,0
4/29/2012,84,73,78.5,0
4/30/2012,85,73,79,0
5/1/2012,86,71,78.5,0
5/2/2012,91,68,79.5,0
5/3/2012,89,71,80,0
5/4/2012,90,69,79.5,0
5/5/2012,91,70,80.5,0
5/6/2012,88,72,80,0
5/7/2012,91,68,79.5,0.05
5/8/2012,87,68,77.5,0.03
5/9/2012,86,68,77,0
5/10/2012,83,65,74,0.01
5/11/2012,83,67,75,0.42
5/12/2012,83,69,76,0.1
5/13/2012,85,65,75,0
5/14/2012,87,63,75,0.1
5/15/2012,73,66,69.5,0.06
5/16/2012,85,63,74,0
5/17/2012,90,64,77,0
5/18/2012,88,65,76.5,0
5/19/2012,88,62,75,0
5/20/2012,89,65,77,0
5/21/2012,93,70,81.5,0
5/22/2012,93,72,82.5,0
5/23/2012,90,72,81,0
5/24/2012,90,75,82.5,0
5/25/2012,91,78,84.5,0
5/26/2012,91,75,83,0
5/27/2012,92,70,81,0
5/28/2012,94,70,82,0
5/29/2012,95,72,83.5,0
5/30/2012,94,74,84,0
5/31/2012,90,74,82,T
6/1/2012,93,71,82,0
6/2/2012,94,68,81,0
6/3/2012,95,72,83.5,0
6/4/2012,95,77,86,0
6/5/2012,96,74,85,0
6/6/2012,97,76,86.5,T
6/7/2012,94,72,83,0.05
6/8/2012,92,72,82,0.48
6/9/2012,92,71,81.5,0
6/10/2012,95,73,84,0
6/11/2012,97,80,88.5,0
6/12/2012,95,69,82,3.05
6/13/2012,91,70,80.5,0
6/14/2012,94,75,84.5,0
6/15/2012,94,74,84,0
6/16/2012,86,74,80,0
6/17/2012,91,72,81.5,0
6/18/2012,86,73,79.5,0
6/19/2012,84,73,78.5,0.28
6/20/2012,87,72,79.5,0.02
6/21/2012,91,72,81.5,0
6/22/2012,94,74,84,0
6/23/2012,96,73,84.5,0
6/24/2012,99,77,88,0
6/25/2012,102,77,89.5,0
6/26/2012,105,79,92,T
6/27/2012,101,78,89.5,0
6/28/2012,96,76,86,T
6/29/2012,92,75,83.5,T
6/30/2012,84,72,78,1.09
7/1/2012,85,74,79.5,0.02
7/2/2012,91,74,82.5,0
7/3/2012,93,74,83.5,0
7/4/2012,93,73,83,0.02
7/5/2012,93,73,83,T
7/6/2012,95,74,84.5,0
7/7/2012,95,76,85.5,T
7/8/2012,83,76,79.5,T
7/9/2012,90,74,82,0.5
7/10/2012,84,74,79,0.25
7/11/2012,82,74,78,0.43
7/12/2012,81,72,76.5,2.04
7/13/2012,81,73,77,0.41
7/14/2012,89,72,80.5,T
7/15/2012,87,72,79.5,1
7/16/2012,91,73,82,T
7/17/2012,92,74,83,T
7/18/2012,92,73,82.5,T
7/19/2012,94,74,84,T
7/20/2012,94,79,86.5,0
7/21/2012,95,78,86.5,T
7/22/2012,93,75,84,0.03
7/23/2012,88,76,82,0.01
7/24/2012,91,74,82.5,0
7/25/2012,93,75,84,T
7/26/2012,94,79,86.5,T
7/27/2012,95,75,85,0
7/28/2012,96,78,87,0
7/29/2012,95,79,87,0
7/30/2012,96,78,87,0
7/31/2012,97,79,88,0
8/1/2012,96,79,87.5,0
8/2/2012,95,79,87,0
8/3/2012,97,80,88.5,0
8/4/2012,96,78,87,0
8/5/2012,94,76,85,4
8/6/2012,97,75,86,T
8/7/2012,97,76,86.5,0
8/8/2012,96,75,85.5,0
8/9/2012,97,77,87,0
8/10/2012,98,79,88.5,T
8/11/2012,98,78,88,0
8/12/2012,97,77,87,0
8/13/2012,98,80,89,0
8/14/2012,98,80,89,0
8/15/2012,98,79,88.5,0
8/16/2012,98,78,88,0
8/17/2012,97,78,87.5,0
8/18/2012,94,73,83.5,1.44
8/19/2012,90,73,81.5,1.68
8/20/2012,96,75,85.5,0
8/21/2012,91,72,81.5,T
8/22/2012,91,75,83,0.01
8/23/2012,90,74,82,0.5
8/24/2012,88,75,81.5,0.2
8/25/2012,91,75,83,0.01
8/26/2012,92,75,83.5,0
8/27/2012,96,74,85,0
8/28/2012,97,78,87.5,0
8/29/2012,98,80,89,0
8/30/2012,99,78,88.5,0
8/31/2012,96,81,88.5,0
9/1/2012,91,76,83.5,0.23
9/2/2012,96,76,86,0
9/3/2012,96,77,86.5,0
9/4/2012,97,77,87,0
9/5/2012,98,75,86.5,0
9/6/2012,97,75,86,0
9/7/2012,96,76,86,0
9/8/2012,87,69,78,T
9/9/2012,91,64,77.5,0
9/10/2012,89,62,75.5,0
9/11/2012,90,64,77,0
9/12/2012,88,71,79.5,0.31
9/13/2012,84,70,77,0.41
9/14/2012,89,71,80,0.13
9/15/2012,89,70,79.5,T
9/16/2012,88,71,79.5,0.06
9/17/2012,83,70,76.5,0.22
9/18/2012,88,69,78.5,0
9/19/2012,85,65,75,0
9/20/2012,88,59,73.5,0
9/21/2012,88,59,73.5,0
9/22/2012,92,68,80,0
9/23/2012,92,68,80,0
9/24/2012,91,69,80,0
9/25/2012,91,69,80,0
9/26/2012,91,71,81,0
9/27/2012,88,70,79,0
9/28/2012,91,73,82,T
9/29/2012,80,73,76.5,0.66
9/30/2012,77,64,70.5,T
10/1/2012,84,59,71.5,0
10/2/2012,83,61,72,T
10/3/2012,85,59,72,0
10/4/2012,88,63,75.5,0
10/5/2012,88,66,77,0
10/6/2012,86,61,73.5,0
10/7/2012,68,54,61,T
10/8/2012,72,53,62.5,T
10/9/2012,84,57,70.5,0
10/10/2012,90,65,77.5,0
10/11/2012,88,70,79,0
10/12/2012,89,70,79.5,0
10/13/2012,89,68,78.5,0
10/14/2012,84,72,78,0.37
10/15/2012,82,61,71.5,0
10/16/2012,79,58,68.5,0.58
10/17/2012,89,62,75.5,0
10/18/2012,80,62,71,T
10/19/2012,83,52,67.5,0
10/20/2012,85,52,68.5,0
10/21/2012,88,70,79,0
10/22/2012,87,69,78,0
10/23/2012,87,65,76,0
10/24/2012,87,66,76.5,0
10/25/2012,88,70,79,0
10/26/2012,73,53,63,0.05
10/27/2012,66,48,57,0
10/28/2012,68,42,55,0
10/29/2012,71,42,56.5,0
10/30/2012,75,42,58.5,0
10/31/2012,84,52,68,0
11/1/2012,87,60,73.5,0
11/2/2012,86,64,75,0
11/3/2012,84,61,72.5,0.43
11/4/2012,83,60,71.5,0
11/5/2012,85,61,73,0.05
11/6/2012,75,53,64,0
11/7/2012,82,50,66,0
11/8/2012,79,51,65,0
11/9/2012,82,58,70,0
11/10/2012,83,58,70.5,0
11/11/2012,83,59,71,0.04
11/12/2012,67,45,56,0.04
11/13/2012,61,40,50.5,0.01
11/14/2012,67,46,56.5,0
11/15/2012,69,38,53.5,0
11/16/2012,68,42,55,0
11/17/2012,71,38,54.5,0
11/18/2012,73,39,56,0
11/19/2012,75,45,60,0
11/20/2012,79,49,64,0
11/21/2012,83,52,67.5,0
11/22/2012,77,50,63.5,0
11/23/2012,78,53,65.5,0.02
11/24/2012,66,43,54.5,0
11/25/2012,75,39,57,0
11/26/2012,84,58,71,0.06
11/27/2012,63,47,55,T
11/28/2012,67,40,53.5,0
11/29/2012,71,39,55,0
11/30/2012,78,55,66.5,T
12/1/2012,83,63,73,T
12/2/2012,84,59,71.5,0
12/3/2012,82,65,73.5,0.08
12/4/2012,83,59,71,0.07
12/5/2012,66,55,60.5,0
12/6/2012,69,56,62.5,0
12/7/2012,81,54,67.5,0
12/8/2012,83,62,72.5,0
12/9/2012,81,59,70,0.06
12/10/2012,59,38,48.5,0.18
12/11/2012,55,32,43.5,0
12/12/2012,61,34,47.5,0
12/13/2012,64,32,48,0
12/14/2012,70,48,59,T
12/15/2012,81,68,74.5,T
12/16/2012,72,59,65.5,1.58
12/17/2012,69,45,57,0
12/18/2012,80,43,61.5,0
12/19/2012,81,64,72.5,0
12/20/2012,75,40,57.5,0.06
12/21/2012,62,32,47,0
12/22/2012,69,33,51,0
12/23/2012,75,60,67.5,0
12/24/2012,75,58,66.5,T
12/25/2012,77,36,56.5,0.04
12/26/2012,47,33,40,0
12/27/2012,53,31,42,0.08
12/28/2012,60,43,51.5,0.12
12/29/2012,51,34,42.5,0
12/30/2012,51,30,40.5,0
12/31/2012,67,46,56.5,0.57
1/1/2013,67,46,56.5,0.13
1/2/2013,46,41,43.5,T
1/3/2013,56,38,47,0
1/4/2013,50,43,46.5,T
1/5/2013,47,42,44.5,0.84
1/6/2013,60,40,50,0
1/7/2013,57,36,46.5,0
1/8/2013,64,49,56.5,0.3
1/9/2013,67,61,64,1.3
1/10/2013,69,52,60.5,0.07
1/11/2013,73,44,58.5,0.01
1/12/2013,75,64,69.5,0.1
1/13/2013,72,42,57,0.25
1/14/2013,45,40,42.5,0.03
1/15/2013,42,37,39.5,0.07
1/16/2013,52,32,42,0
1/17/2013,63,29,46,0
1/18/2013,62,36,49,0
1/19/2013,68,34,51,0
1/20/2013,69,43,56,0
1/21/2013,71,43,57,0
1/22/2013,71,44,57.5,0
1/23/2013,75,45,60,0
1/24/2013,79,61,70,0
1/25/2013,79,61,70,0
1/26/2013,78,59,68.5,0
1/27/2013,77,56,66.5,T
1/28/2013,81,70,75.5,0
1/29/2013,77,59,68,0.11
1/30/2013,61,39,50,0
1/31/2013,67,33,50,0
2/1/2013,70,43,56.5,0
2/2/2013,76,46,61,0
2/3/2013,72,48,60,0
2/4/2013,72,53,62.5,0.06
2/5/2013,79,58,68.5,0.01
2/6/2013,65,60,62.5,0.36
2/7/2013,73,57,65,0
2/8/2013,71,50,60.5,0
2/9/2013,69,49,59,T
2/10/2013,74,58,66,0.11
2/11/2013,63,53,58,0.07
2/12/2013,64,53,58.5,0.06
2/13/2013,61,43,52,0
2/14/2013,67,34,50.5,0
2/15/2013,69,39,54,T
2/16/2013,61,39,50,0
2/17/2013,72,36,54,0
2/18/2013,74,55,64.5,0.33
2/19/2013,69,46,57.5,0
2/20/2013,60,50,55,0.03
2/21/2013,75,53,64,0.28
2/22/2013,65,54,59.5,0
2/23/2013,70,47,58.5,0
2/24/2013,70,43,56.5,0
2/25/2013,76,48,62,0.01
2/26/2013,64,44,54,0
2/27/2013,69,42,55.5,0
2/28/2013,59,41,50,0
3/1/2013,64,36,50,0
3/2/2013,57,36,46.5,0
3/3/2013,69,30,49.5,0
3/4/2013,80,57,68.5,0
3/5/2013,68,48,58,0
3/6/2013,69,37,53,0
3/7/2013,69,39,54,0
3/8/2013,72,51,61.5,0
3/9/2013,75,63,69,0
3/10/2013,69,51,60,0.39
3/11/2013,62,43,52.5,0
3/12/2013,73,36,54.5,0
3/13/2013,73,45,59,0
3/14/2013,75,43,59,0
3/15/2013,78,46,62,0
3/16/2013,81,59,70,0
3/17/2013,82,64,73,0
3/18/2013,90,68,79,0
3/19/2013,78,60,69,0
3/20/2013,75,55,65,0.12
3/21/2013,73,48,60.5,0
3/22/2013,84,64,74,0
3/23/2013,73,62,67.5,0
3/24/2013,66,48,57,0
3/25/2013,62,37,49.5,0
3/26/2013,64,37,50.5,0
3/27/2013,69,37,53,0
3/28/2013,72,54,63,0
3/29/2013,75,55,65,0
3/30/2013,79,63,71,0
3/31/2013,84,62,73,0.35
4/1/2013,81,59,70,0
4/2/2013,73,59,66,1.46
4/3/2013,66,52,59,0.12
4/4/2013,55,50,52.5,0
4/5/2013,71,46,58.5,0
4/6/2013,75,46,60.5,0
4/7/2013,80,60,70,0
4/8/2013,81,66,73.5,0
4/9/2013,82,69,75.5,0
4/10/2013,82,48,65,0.08
4/11/2013,69,44,56.5,0.63
4/12/2013,79,46,62.5,0
4/13/2013,79,51,65,0
4/14/2013,82,55,68.5,0
4/15/2013,84,70,77,0
4/16/2013,82,71,76.5,0
4/17/2013,77,73,75,0
4/18/2013,77,54,65.5,0.03
4/19/2013,66,46,56,0
4/20/2013,69,39,54,0
4/21/2013,75,46,60.5,0
4/22/2013,79,53,66,0
4/23/2013,79,57,68,0
4/24/2013,71,48,59.5,0
4/25/2013,75,55,65,0
4/26/2013,81,66,73.5,0
4/27/2013,82,66,74,0.16
4/28/2013,82,64,73,0
4/29/2013,84,61,72.5,0
4/30/2013,84,64,74,0
5/1/2013,84,64,74,0
5/2/2013,79,52,65.5,0
5/3/2013,69,46,57.5,0
5/4/2013,81,42,61.5,0
5/5/2013,73,51,62,0
5/6/2013,79,48,63.5,0
5/7/2013,87,54,70.5,0
5/8/2013,84,60,72,0
5/9/2013,79,69,74,0.04
5/10/2013,78,66,72,0.35
5/11/2013,86,66,76,0.03
5/12/2013,82,62,72,0
5/13/2013,81,55,68,0
5/14/2013,84,57,70.5,0
5/15/2013,80,66,73,0.08
5/16/2013,84,69,76.5,0.03
5/17/2013,89,73,81,0
5/18/2013,91,73,82,0
5/19/2013,90,75,82.5,0
5/20/2013,90,77,83.5,0
5/21/2013,89,77,83,0
5/22/2013,89,71,80,0.08
5/23/2013,89,71,80,0
5/24/2013,90,73,81.5,0
5/25/2013,84,71,77.5,0
5/26/2013,91,75,83,0
5/27/2013,90,70,80,0
5/28/2013,90,75,82.5,0
5/29/2013,86,75,80.5,0
5/30/2013,90,77,83.5,0
5/31/2013,93,78,85.5,0
6/1/2013,95,79,87,0
6/2/2013,86,69,77.5,0.98
6/3/2013,91,68,79.5,0
6/4/2013,91,69,80,0
6/5/2013,93,71,82,0
6/6/2013,95,73,84,0.28
6/7/2013,88,69,78.5,0
6/8/2013,91,68,79.5,0
6/9/2013,90,71,80.5,1.26
6/10/2013,93,70,81.5,0
6/11/2013,91,73,82,0
6/12/2013,93,73,83,0
6/13/2013,96,73,84.5,0
6/14/2013,95,78,86.5,0
6/15/2013,93,77,85,0
6/16/2013,96,75,85.5,0
6/17/2013,96,78,87,0
6/18/2013,96,75,85.5,0
6/19/2013,96,73,84.5,0.98
6/20/2013,93,73,83,0
6/21/2013,93,73,83,0
6/22/2013,93,73,83,0
6/23/2013,95,73,84,0
6/24/2013,96,75,85.5,0
6/25/2013,97,80,88.5,0
6/26/2013,98,79,88.5,0
6/27/2013,98,75,86.5,0
6/28/2013,100,78,89,0
6/29/2013,107,80,93.5,0
6/30/2013,98,73,85.5,0
7/1/2013,93,69,81,0
7/2/2013,95,71,83,0
7/3/2013,93,70,81.5,0
7/4/2013,96,71,83.5,0
7/5/2013,97,71,84,0
7/6/2013,96,75,85.5,0
7/7/2013,91,75,83,0.01
7/8/2013,89,73,81,0.51
7/9/2013,96,73,84.5,0
7/10/2013,97,75,86,0
7/11/2013,98,78,88,0
7/12/2013,98,79,88.5,0
7/13/2013,99,77,88,0
7/14/2013,91,69,80,0.02
7/15/2013,89,68,78.5,0.2
7/16/2013,90,73,81.5,0.2
7/17/2013,84,71,77.5,0.83
7/18/2013,93,73,83,0
7/19/2013,89,73,81,0.2
7/20/2013,88,73,80.5,0.03
7/21/2013,88,73,80.5,0
7/22/2013,95,77,86,0
7/23/2013,95,79,87,0
7/24/2013,96,77,86.5,0
7/25/2013,96,78,87,0
7/26/2013,96,78,87,0
7/27/2013,93,78,85.5,0.12
7/28/2013,93,75,84,0.08
7/29/2013,95,75,85,0
7/30/2013,96,77,86.5,0
7/31/2013,98,73,85.5,0
8/1/2013,98,77,87.5,0
8/2/2013,95,78,86.5,0
8/3/2013,98,73,85.5,0
8/4/2013,97,79,88,0
8/5/2013,99,79,89,0
8/6/2013,99,78,88.5,0
8/7/2013,100,80,90,0
8/8/2013,99,78,88.5,0
8/9/2013,99,73,86,0
8/10/2013,93,78,85.5,0.12
8/11/2013,93,77,85,0
8/12/2013,97,75,86,0
8/13/2013,100,79,89.5,0
8/14/2013,100,73,86.5,0.63
8/15/2013,88,73,80.5,0.01
8/16/2013,96,71,83.5,1.81
8/17/2013,93,71,82,0
8/18/2013,91,69,80,0
8/19/2013,93,72,82.5,0
8/20/2013,90,73,81.5,0
8/21/2013,93,73,83,0
8/22/2013,95,75,85,0
8/23/2013,97,75,86,0
8/24/2013,96,77,86.5,0
8/25/2013,89,77,83,0
8/26/2013,80,75,77.5,0.51
8/27/2013,91,73,82,0
8/28/2013,95,73,84,0
8/29/2013,98,75,86.5,0
8/30/2013,98,78,88,0
8/31/2013,95,75,85,0
9/1/2013,96,73,84.5,0
9/2/2013,99,78,88.5,0
9/3/2013,100,78,89,0
9/4/2013,97,78,87.5,0
9/5/2013,98,75,86.5,0.39
9/6/2013,93,75,84,0
9/7/2013,88,75,81.5,0
9/8/2013,90,73,81.5,0
9/9/2013,91,73,82,0
9/10/2013,90,73,81.5,0.08
9/11/2013,91,72,81.5,0
9/12/2013,93,73,83,0
9/13/2013,96,73,84.5,0
9/14/2013,93,73,83,0
